Porch Stage	Banjo Stage	Arrow Stage	Rooster Stage	Star Stage	Towers of Gold Stage	Bandwagon Stage
5	11:00	Whograss
5	12:30	Bad Luck Jonathan
5	14:10	Justin Townes Earle
5	15:55	Mavis Staples
5	17:45	Chris Isaak
2	11:00	McCrary Sisters
2	12:10	Alison Brown Quintet
2	13:25	The Time Jumpers Featuring Vince Gill, Kenny Sears, Dawn Sears and Ranger Doug Green
2	14:45	Holler Down The Hollow: A Hardly Strictly Salute To the Masters (Dickens, Hellman, Reed, Scruggs, Seeger, Watson &amp; Winchester)
2	16:25	Dave Rawlings Machine
2	17:45	Steve Earle &amp; The Dukes
3	11:00	Evolfo
3	12:05	Blue Rodeo
3	13:15	Johnnyswim
3	14:30	St. Paul &amp; The Broken Bones
3	15:50	Jon Batiste and Stay Human
3	16:55	Reckless Kelly
3	17:15	The Flatlanders Featuring Joe Ely, Jimmie Dale Gilmore & Butch Hancock
4	11:00	Carlene Carter
4	12:15	Buddy Miller’s Cavalcade of Stars: Kate York, Striking Matches, Nikki Lane, Shawn Colvin, Tony Joe White, Buddy Miller &amp; Friends with Doug Seegers, Sam Palladio &amp; McCrary Sisters
4	17:30	Robert Earl Keen
6	11:40	Red Baraat
6	1:20	Deltron 3030 with The 3030 Orchestra
6	15:05	Built To Spill
6	16:45	Social Distortion
1	11:00	The Mastersons
1	12:10	Rose's Pawn Shop
1	13:25	The Felice Brothers
1	14:40	Parker Millsap
1	15:50	Jessica Hernandez &amp; The Deltas
1	16:50	Chris Smither
1	18:05	Sister Sparrow &amp; The Dirty Birds
7	11:40	Horseshoe Hill
7	14:00	Willie Watson
7	15:20	Heidi Clare



