Porch Stage	Banjo Stage	Arrow Stage	Rooster Stage	Star Stage	Towers of Gold Stage	Bandwagon Stage
5	11:45	Robbie Fulks
5	13:15	The Lone Bellow
5	14:50	Rosanne Cash
5	16:30	Lake Street Dive
5	18:10	Bruce Cockburn
2	11:00	Malawi Mouse Boys
2	12:05	Hot Rize Featuring Red Knuckles &amp; The Trailblazers
2	13:25	Jerry Douglas Presents Earls of Leicester
2	14:45	Ralph Stanley &amp; The Clinch Mountain Boys
2	16:05	Tweedy
2	17:45	Emmylou Harris
3	11:00	The Sam Chase
3	12:10	Nitty Gritty Dirt Band
3	13:25	Moonalice
3	14:45	Blackie &amp; The Rodeo Kings
3	16:10	Lukas Nelson &amp; Promise of The Real
3	17:45	Joe Russo’s Almost Dead
4	11:00	The Go To Hell Man Clan
4	12:10	Kevin Welch &amp; Kieran Kane &amp; Fats Kaplin
4	13:25	Sun Kil Moon
4	14:45	Chuck Prophet &amp; the Mission Express
4	16:00	T Bone Burnett
4	17:30	Jason Isbell
5	11:45	Robbie Fulks
5	13:15	The Lone Bellow
5	14:50	Rosanne Cash
5	16:30	Lake Street Dive
5	18:10	Bruce Cockburn
6	11:00	The Apache Relay
6	12:30	Laurie Lewis &amp; The Right Hands
6	14:00	Bonnie "Prince" Billy &amp; The Cairo Gang Featuring Dawn McCarthy
6	15:40	Béla Fleck &amp; Abigail Washburn
6	17:20	Dwight Yoakam
1	11:00	Jesse DeNatale
1	12:10	Chuck Cannon
1	13:25	The High Bar Gang
1	14:40	Shelly Colvin
1	15:55	Caitlin Rose
1	17:10	Sarah Jarosz
1	18:20	Rising Appalachia
7	11:40	Jimmie Dale Gilmore
7	14:15	JB Nimble
7	17:10	The Brothers Gibb




